,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
65,0.6249,Thu Dec 21 16:50:01 +0000 2017,0.727,0.066,0.208,A New Jersey police officer risked his own safety to save a dog who fell through ice at a pond -- and it was all ca… https://t.co/8GUXaIbBOP,66,@cbsnews
66,0.5719,Thu Dec 21 16:39:09 +0000 2017,0.821,0.0,0.179,"WATCH LIVE: Republican lawmakers hold an ""enrollment ceremony,"" celebrating the passage of the GOP tax reform bill… https://t.co/uCzPBl78kV",67,@cbsnews
67,-0.3818,Thu Dec 21 16:21:24 +0000 2017,0.86,0.14,0.0,"WATCH LIVE: Democrats slam President Trump and GOP agenda, a day after GOP tax plan passes Congress… https://t.co/pv6zaOvnM0",68,@cbsnews
68,-0.2732,Thu Dec 21 16:12:01 +0000 2017,0.905,0.095,0.0,Soaring opioid drug deaths have caused U.S. life expectancy to drop for a second year -- and early 2017 figures sho… https://t.co/L80EQHMgZa,69,@cbsnews
69,0.0,Thu Dec 21 15:56:09 +0000 2017,1.0,0.0,0.0,WATCH LIVE: U.N. ambassador Nikki Haley speaks to the U.N. General Assembly ahead of vote on President Trump's Jeru… https://t.co/9IlNjTOtLf,70,@cbsnews
70,0.0,Thu Dec 21 15:51:32 +0000 2017,1.0,0.0,0.0,"Your winter blues may soon be over ☀️  Thursday marks the #WinterSolstice, the shortest day of 2017. Find out what… https://t.co/fHJ7oD99Kn",71,@cbsnews
71,-0.4215,Thu Dec 21 15:30:01 +0000 2017,0.811,0.189,0.0,Aldi issues recall of apples from grocery stores over listeria fears: https://t.co/JSaewaqtXO https://t.co/aA75F0WwS3,72,@cbsnews
72,0.0,Thu Dec 21 15:15:01 +0000 2017,1.0,0.0,0.0,The U.N. is set to vote on a resolution condemning President Trump's decision to recognize Jerusalem as the capital… https://t.co/CDzjChKyac,73,@cbsnews
73,0.4588,Thu Dec 21 15:01:25 +0000 2017,0.833,0.0,0.167,Prince Harry and Meghan Markle release their official portrait photographs to mark their engagement 💍… https://t.co/Test3FWaI8,74,@cbsnews
74,0.3182,Thu Dec 21 14:43:01 +0000 2017,0.859,0.0,0.141,GOP tax bill fact-check: How both Democrats and Republicans are stretching the truth https://t.co/WjMMjPpnLk https://t.co/6Vib4qnQeY,75,@cbsnews
75,0.296,Thu Dec 21 14:25:01 +0000 2017,0.885,0.0,0.115,"Hours after landing a massive tax windfall, a handful of major U.S. companies announced plans to share a fraction o… https://t.co/t7Lzq7xNsG",76,@cbsnews
76,0.4939,Thu Dec 21 14:15:14 +0000 2017,0.833,0.0,0.167,"RT @CBSThisMorning: .@GloriaEstefan is the first Cuban-American to receive a Kennedy Center Honor. The singer, songwriter and entrepreneur…",77,@cbsnews
77,0.743,Thu Dec 21 14:10:03 +0000 2017,0.59,0.089,0.321,Satellite images from NASA show remarkable progress on the huge Thomas Fire in California over the past three days… https://t.co/OJXxrYxjyE,78,@cbsnews
78,0.2732,Thu Dec 21 13:50:01 +0000 2017,0.9,0.0,0.1,One of Australia's oldest naval mysteries has been solved -- the country's first submarine has been found more than… https://t.co/ylRBL0Yjxq,79,@cbsnews
79,0.4588,Thu Dec 21 13:30:01 +0000 2017,0.789,0.0,0.211,Accountants across the U.S. are overwhelmed with client requests about the newly approved GOP tax bill:… https://t.co/UZiZ53Xwn8,80,@cbsnews
80,0.4588,Thu Dec 21 13:27:47 +0000 2017,0.833,0.0,0.167,Kensington Palace released brand-new engagement photos of Meghan Markle and Prince Harry on Thursday morning: https://t.co/Att5hfkkGT,81,@cbsnews
