,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
58,0.1531,Thu Dec 21 22:35:26 +0000 2017,0.728,0.121,0.15,".@JesseBWatters on Susan Rice criticizing @POTUS' ""America First"" national strategy: ""Susan Rice and friends sat ba… https://t.co/3ePOj3w051",59,@FoxNews
59,0.0,Thu Dec 21 22:32:19 +0000 2017,1.0,0.0,0.0,".@kimguilfoyle on writer calling @SenatorTimScott a ""prop"" during @POTUS speech: ""[Tim Scott] should be given the c… https://t.co/bWFBqDCtwN",60,@FoxNews
60,0.2732,Thu Dec 21 22:24:10 +0000 2017,0.861,0.0,0.139,".@VP, in surprise visit to Afghanistan, says 'victory is closer than ever before' https://t.co/vNwGME9cVR",61,@FoxNews
61,-0.3612,Thu Dec 21 22:21:22 +0000 2017,0.889,0.111,0.0,RT @FoxBusiness: #BreakingNews: Papa John's founder John Schnatter to step down as CEO; announcement comes weeks after he criticized NFL ov…,62,@FoxNews
62,0.8275,Thu Dec 21 22:20:57 +0000 2017,0.686,0.0,0.314,".@kimguilfoyle on backlash of GOP tax bill: ""Some kind of improvement in relief is better than none at all, it's a… https://t.co/d3dVNKWiIg",63,@FoxNews
63,-0.1779,Thu Dec 21 22:14:50 +0000 2017,0.777,0.13,0.093,".@TheJuanWilliams on @POTUS' top priorities for 2018: ""I think the immigration argument has shifted, especially aft… https://t.co/Qz2V8zHjZ1",64,@FoxNews
64,-0.1779,Thu Dec 21 22:11:36 +0000 2017,0.866,0.134,0.0,"House passes another stopgap spending bill, in race to avert shutdown https://t.co/anP2ay7go4",65,@FoxNews
65,0.0,Thu Dec 21 22:10:07 +0000 2017,1.0,0.0,0.0,".@TheJuanWilliams on government shutdown: ""If it comes to a shutdown right now, the Democrats have the upper hand..… https://t.co/sSQFRhSmTQ",66,@FoxNews
66,-0.5106,Thu Dec 21 21:59:00 +0000 2017,0.82,0.18,0.0,These countries voted with US as UN condemns Trump's recognition of Jerusalem as Israel's capital https://t.co/MHpm504Itd,67,@FoxNews
67,0.6597,Thu Dec 21 21:53:03 +0000 2017,0.597,0.0,0.403,.@GarySinise makes special holiday visit to troops in Afghanistan https://t.co/6PKNnFhVMa,68,@FoxNews
68,-0.1779,Thu Dec 21 21:46:57 +0000 2017,0.866,0.134,0.0,"Congress preps another stopgap spending bill, in race to avert shutdown https://t.co/E8U05MftaK",69,@FoxNews
69,-0.2006,Thu Dec 21 21:45:00 +0000 2017,0.886,0.114,0.0,Gillian Turner Says @FBI Agent's Text Message About Trump 'Insurance Policy' Is 'Really Alarming' https://t.co/e80v9KbPYE,70,@FoxNews
70,-0.1779,Thu Dec 21 21:34:49 +0000 2017,0.661,0.198,0.14,Border wall contractors face growing boycotts from Dem-led cities https://t.co/i66FonPVYu,71,@FoxNews
71,0.2732,Thu Dec 21 21:29:15 +0000 2017,0.826,0.0,0.174,JUST IN: @VP Mike Pence makes surprise visit to Afghanistan https://t.co/Cv4keUTMAp,72,@FoxNews
72,-0.4939,Thu Dec 21 21:22:51 +0000 2017,0.862,0.138,0.0,".@SteveScalise on his recovery after attempt on his life: ""@POTUS came to see me in my darkest days...God has been… https://t.co/Xip4qvx9ir",73,@FoxNews
73,0.7579,Thu Dec 21 21:15:48 +0000 2017,0.706,0.0,0.294,".@SteveScalise on companies like @ATT giving benefits to its employees due to tax reform bill: ""This is what we sai… https://t.co/DkfHI0Lonl",74,@FoxNews
74,0.0,Thu Dec 21 21:08:11 +0000 2017,1.0,0.0,0.0,".@SteveScalise on tax reform bill: ""You're going to see @POTUS sign this bill in the next few days."" https://t.co/81U9DeMF6d",75,@FoxNews
75,-0.0258,Thu Dec 21 21:01:38 +0000 2017,0.936,0.064,0.0,JUST IN: Wisconsin teen in ‘Slender Man’ stabbing sentenced to 25 years in mental health facility https://t.co/5ppsK1MeE0,76,@FoxNews
76,0.4019,Thu Dec 21 20:51:06 +0000 2017,0.803,0.0,0.197,UN approves resolution condemning US recognition of Jerusalem as Israeli capital https://t.co/pUfRiBSa8o,77,@FoxNews
77,0.5719,Thu Dec 21 20:31:38 +0000 2017,0.778,0.0,0.222,.@RepKinzinger on Success Against ISIS: @realDonaldTrump Is Empowering the Military on the Battlefield… https://t.co/wsZYLuyKbs,78,@FoxNews
78,-0.3612,Thu Dec 21 20:28:43 +0000 2017,0.8,0.2,0.0,Tax bill strikes major blow to ObamaCare: Will it survive? https://t.co/O3Y76358Qu,79,@FoxNews
79,-0.891,Thu Dec 21 20:26:30 +0000 2017,0.463,0.537,0.0,Man stops attempted rape of woman with mouth duct-taped in truck; suspect arrested https://t.co/4CWHQASBQ1,80,@FoxNews
80,0.0,Thu Dec 21 20:20:06 +0000 2017,1.0,0.0,0.0,Nations that receive the most U.S. aid. https://t.co/wOfyzM7GNy,81,@FoxNews
81,-0.0772,Thu Dec 21 20:11:52 +0000 2017,0.653,0.206,0.141,The United Nations General Assembly overwhelmingly voted today to condemn @POTUS's decision to recognize Jerusalem… https://t.co/kfiNH1cTCq,82,@FoxNews
82,-0.3612,Thu Dec 21 20:05:27 +0000 2017,0.828,0.172,0.0,"Tax bill strikes major blow to ObamaCare: Will it survive? - via @brookefoxnews
https://t.co/IemBsA5amT",83,@FoxNews
83,0.0,Thu Dec 21 20:03:26 +0000 2017,1.0,0.0,0.0,Happening Now: @POTUS visiting Walter Reed National Military Medical Center. https://t.co/h6xdvYuNNN,84,@FoxNews
84,0.4215,Thu Dec 21 19:57:04 +0000 2017,0.877,0.0,0.123,".@TheWorldsFrates: ""ISIS is out of Iraq. They're being pushed out of Syria. How many lives have been saved, how man… https://t.co/OhNRU8hK72",85,@FoxNews
85,0.0,Thu Dec 21 19:44:13 +0000 2017,1.0,0.0,0.0,"Republicans probing FBI, DOJ 'corruption' over dossier: report https://t.co/YC4M7Yk5ua",86,@FoxNews
86,0.2263,Thu Dec 21 19:41:25 +0000 2017,0.888,0.0,0.112,"Yesterday, @SecretaryCarson led the Trump Cabinet in a prayer, stating that America is a nation ""worth saving."" https://t.co/JgPQPPR5D9",87,@FoxNews
87,-0.4449,Thu Dec 21 19:40:04 +0000 2017,0.821,0.179,0.0,".@RandPaul: ""I'm never a fan of shutting down government, so that's not my intention. I am a fan of defending the B… https://t.co/YpXeWEup00",88,@FoxNews
88,-0.891,Thu Dec 21 19:39:51 +0000 2017,0.463,0.537,0.0,Man stops attempted rape of woman with mouth duct-taped in truck; suspect arrested https://t.co/6XLZTDZRzM,89,@FoxNews
89,0.4939,Thu Dec 21 19:37:01 +0000 2017,0.811,0.0,0.189,".@SenToomey: ""We'll see if our Democrat colleagues decide that they want to shut down the government. I hope they d… https://t.co/YjadzOvCrw",90,@FoxNews
90,0.0,Thu Dec 21 19:35:03 +0000 2017,1.0,0.0,0.0,".@SenatorLankford: ""When there are individuals in the Mueller process that are blatantly political in it, it is rig… https://t.co/FTEWpeG1sl",91,@FoxNews
91,-0.128,Thu Dec 21 19:28:56 +0000 2017,0.857,0.143,0.0,Republicans demand answers over claims Obama gave Hezbollah a pass https://t.co/vmtaGPakce,92,@FoxNews
92,-0.0191,Thu Dec 21 19:22:50 +0000 2017,0.933,0.067,0.0,.@SenWarren is not backing down from her disapproval of the GOP tax reform bill. https://t.co/3ZDZK5NaJd https://t.co/8Q0U3j2dtY,93,@FoxNews
93,0.0,Thu Dec 21 19:20:33 +0000 2017,1.0,0.0,0.0,".@PeteHegseth: @UN Has Become 'Anti-Israeli, Anti-Semitic, Anti-American Cesspool'
https://t.co/9RZ02H9K67",94,@FoxNews
94,-0.5994,Thu Dec 21 19:17:14 +0000 2017,0.692,0.308,0.0,Poll: Who to blame if major budget disagreement leads to government shutdown. https://t.co/zGSostppq7,95,@FoxNews
95,0.2263,Thu Dec 21 19:16:38 +0000 2017,0.863,0.0,0.137,Obama adviser Ben Rhodes slammed for tweet joking about GOP leaders' 'obits' https://t.co/46TQPi3G5T,96,@FoxNews
96,-0.128,Thu Dec 21 18:49:14 +0000 2017,0.817,0.101,0.082,"""The average American family can't come up with $400 in the event of an emergency, and my father is committed to ch… https://t.co/CLkSlpMsHj",97,@FoxNews
97,0.7269,Thu Dec 21 18:48:03 +0000 2017,0.757,0.0,0.243,".@nikkihaley: ""The United States is by far the single largest contributor to the @UN... We'll be honest with you: w… https://t.co/XvjMz3VwkO",98,@FoxNews
98,0.4588,Thu Dec 21 18:47:40 +0000 2017,0.75,0.0,0.25,"The Jewish composers who wrote your favorite Christmas songs
https://t.co/vdRvWpv1VN",99,@FoxNews
99,-0.34,Thu Dec 21 18:46:56 +0000 2017,0.806,0.194,0.0,.@USMC dressed as Santa in holiday-themed underwater photo shoot https://t.co/ibUSjthZfD https://t.co/ORqAo2GLNg,100,@FoxNews
