,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
70,0.0,Thu Dec 21 18:37:06 +0000 2017,1.0,0.0,0.0,"The New York Times review of “The Post,” which revisits @washingtonpost's decision to publish portions of the Penta… https://t.co/gApAo761p1",71,@NyTimes
71,0.8402,Thu Dec 21 18:30:20 +0000 2017,0.529,0.0,0.471,"12 small but indelible pleasures that brightened up a dark year 
 https://t.co/BDIYDeqkq9",72,@NyTimes
72,-0.5994,Thu Dec 21 18:15:08 +0000 2017,0.804,0.196,0.0,"Mexico was the deadliest country for journalists outside a war zone this year, an advocacy group reports https://t.co/BX051KW4Kl",73,@NyTimes
73,0.0,Thu Dec 21 18:07:06 +0000 2017,1.0,0.0,0.0,"RT @alexburnsNYT: Maybe the most telling line in this @jmartNYT joint: ""Notably, the House Republicans who opposed the bill also will not b…",74,@NyTimes
74,0.0,Thu Dec 21 18:00:34 +0000 2017,1.0,0.0,0.0,"""The Crown"" is fiction based on actual history. Here's a look at how The Times covered events from Season 2. https://t.co/o5pDkSZzEW",75,@NyTimes
75,0.4391,Thu Dec 21 17:52:04 +0000 2017,0.837,0.0,0.163,"Janet Elder was “one of the newsroom’s most important leaders, and an advocate for women at the top of the masthead” https://t.co/ju9jep1eaD",76,@NyTimes
76,-0.743,Thu Dec 21 17:45:07 +0000 2017,0.73,0.27,0.0,President Trump’s tax victory can only mitigate Republican losses in what is shaping up to be a punishing election… https://t.co/lVHclBOJp5,77,@NyTimes
77,-0.5994,Thu Dec 21 17:38:05 +0000 2017,0.776,0.224,0.0,Diplomats brushed aside last-minute threats by President Trump to cut off aid to countries voting for the resolutio… https://t.co/uOdMu7u6JC,78,@NyTimes
78,0.5423,Thu Dec 21 17:30:23 +0000 2017,0.836,0.0,0.164,RT @nytimesbooks: 2017 has been a year when we could have all used some help. Here are our columnist's top picks in advice and how-to. http…,79,@NyTimes
79,-0.4404,Thu Dec 21 17:22:43 +0000 2017,0.868,0.132,0.0,"Breaking News: In a stinging rebuke, the UN General Assembly condemned the U.S. decree on Jerusalem. The vote was 1… https://t.co/IWlCipNMPt",80,@NyTimes
80,0.0,Thu Dec 21 17:17:21 +0000 2017,1.0,0.0,0.0,"RT @readercenter: “We report on race and racial issues. We grapple with them in our own lives, too.” Over the past year, @jeligon and @rach…",81,@NyTimes
81,0.4754,Thu Dec 21 17:15:14 +0000 2017,0.846,0.0,0.154,Our 20 most popular soups and stews: a group of recipes collected by the editors of NYT Cooking… https://t.co/QKHPS7JpAu,82,@NyTimes
82,0.4497,Thu Dec 21 16:58:38 +0000 2017,0.803,0.061,0.136,RT @jmartNYT: NEW: Tax bill gives the GOP something to trumpet - or to distract from Trump outbursts - but officials in both parties concur…,83,@NyTimes
83,0.0258,Thu Dec 21 16:45:05 +0000 2017,0.718,0.138,0.144,The latest train crash has reinforced the view that Amtrak may be skimping on safety https://t.co/wUEj3ZhkXt,84,@NyTimes
84,0.2023,Thu Dec 21 16:30:26 +0000 2017,0.909,0.0,0.091,"Opinion: ""The Republicans are raiding the Treasury in plain sight, throwing crumbs to the masses as the millionaire… https://t.co/Jk4L7w0eFz",85,@NyTimes
85,-0.4019,Thu Dec 21 16:15:08 +0000 2017,0.876,0.124,0.0,More than 1.9 million children could lose health coverage next month if Congress does not renew funding for CHIP https://t.co/zdsyzTraGM,86,@NyTimes
86,0.0258,Thu Dec 21 16:08:06 +0000 2017,0.945,0.0,0.055,Could a metropolis of 30 million people end up underwater? Experts say it's only a matter of time for Indonesia's f… https://t.co/mbEIluPEXN,87,@NyTimes
87,-0.6494,Thu Dec 21 16:00:34 +0000 2017,0.798,0.202,0.0,"""I heard the noise of bones crushing. It was kinda terrible. And the car ended up near the tram tracks,"" said a wit… https://t.co/A5tpG0SFuq",88,@NyTimes
88,0.6705,Thu Dec 21 15:51:06 +0000 2017,0.755,0.0,0.245,"RT @nytimesbusiness: Some companies like AT&amp;T, Wells Fargo and Fifth Third Bancorp are taking advantage of the new tax code to give bonuses…",89,@NyTimes
89,0.0,Thu Dec 21 15:45:11 +0000 2017,0.828,0.086,0.086,"""If it were a human, it would be one day Grandpa had a sore on his face and the next day it's like 'Night of the Li… https://t.co/alTUapLh2n",90,@NyTimes
90,0.0,Thu Dec 21 15:27:17 +0000 2017,1.0,0.0,0.0,RT @noamscheiber: Imagine a dystopian future when people over 40 can't get work because they don't even know which jobs are available. Well…,91,@NyTimes
91,0.0,Thu Dec 21 15:20:13 +0000 2017,1.0,0.0,0.0,"A look back at 2017, in pictures https://t.co/TxYnJj1pxZ https://t.co/9HfP0ARslf",92,@NyTimes
92,0.6249,Thu Dec 21 15:15:15 +0000 2017,0.631,0.0,0.369,5 cheap(ish) things that make great last-minute gifts https://t.co/HaXg2V1X0y,93,@NyTimes
93,0.0,Thu Dec 21 15:00:24 +0000 2017,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/dFQJDiT7Gp https://t.co/lQcdnrnniO,94,@NyTimes
94,0.0,Thu Dec 21 14:45:05 +0000 2017,1.0,0.0,0.0,"Kristen Roupenian, the author of ""Cat Person,"" a short story in the @NewYorker that went viral, has received a seve… https://t.co/ImLA4yNYjv",95,@NyTimes
95,0.0,Thu Dec 21 14:31:10 +0000 2017,1.0,0.0,0.0,"Catt Sadler, an ""E! News"" co-host, said she left the network because it was paying her half as much as her male co-… https://t.co/zkLOmuEjY1",96,@NyTimes
96,0.6808,Thu Dec 21 14:16:06 +0000 2017,0.763,0.0,0.237,New laws in Poland effectively put the country's courts under the control of the right-wing governing party. The go… https://t.co/4RAXCzFctr,97,@NyTimes
97,0.0,Thu Dec 21 14:00:19 +0000 2017,1.0,0.0,0.0,Samantha Bee looks for omens in Trump's decision on Jerusalem. Our late-night roundup: https://t.co/dm9aSgu6WA,98,@NyTimes
98,-0.5423,Thu Dec 21 13:45:08 +0000 2017,0.696,0.304,0.0,Why sitting may be bad for your heart https://t.co/2UcbOEA0nz,99,@NyTimes
99,0.0,Thu Dec 21 13:40:52 +0000 2017,1.0,0.0,0.0,"RT @NYTNational: Summit County, Ohio, is among the latest local governments to sue opioid makers and distributors. ""We’ve had enough here,”…",100,@NyTimes
