,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
72,0.0,Sat Dec 16 01:22:30 +0000 2017,1.0,0.0,0.0,The final version of the GOP tax plan eliminates the tax deduction for alimony payments https://t.co/l3FAz5I3qq https://t.co/Omvr7IwarK,73,@CNNbrk
73,0.0,Sat Dec 16 01:09:06 +0000 2017,1.0,0.0,0.0,RT @CNNMoney: The GOP tax plan has spared graduate students from having to start paying income tax on their tuition waivers. https://t.co/Z…,74,@CNNbrk
74,0.0,Sat Dec 16 01:05:37 +0000 2017,1.0,0.0,0.0,RT @CNNMoney: Lawmakers have decided not to touch a tax deduction for teachers who spend their own money on school supplies. https://t.co/1…,75,@CNNbrk
75,0.4215,Sat Dec 16 00:40:55 +0000 2017,0.882,0.0,0.118,Trump’s team is hoping for signs that Mueller’s investigation is nearing its end — or at least the part having to d… https://t.co/cSZre9TN4T,76,@CNNbrk
76,0.0,Fri Dec 15 23:20:13 +0000 2017,1.0,0.0,0.0,"Republicans unveil the final tax bill, placing them on track to vote next week and possibly have Trump sign it by t… https://t.co/iIYzsBZoq8",77,@CNNbrk
77,-0.4939,Fri Dec 15 21:27:02 +0000 2017,0.792,0.208,0.0,"Federal judge releases ex-Trump campaign chair Paul Manafort, charged with money laundering, from house arrest on $… https://t.co/s64bNHIaQL",78,@CNNbrk
78,0.0,Fri Dec 15 20:52:01 +0000 2017,1.0,0.0,0.0,"RT @CNNPolitics: JUST IN: GOP Sen. Bob Corker, who voted against the tax plan when it initially passed the Senate, says he will back the fi…",79,@CNNbrk
79,0.6486,Fri Dec 15 20:01:53 +0000 2017,0.819,0.0,0.181,"RT @CNNPolitics: JUST IN: GOP Sen. Marco Rubio will vote yes on the final tax bill after changes to the child tax credit, a source close to…",80,@CNNbrk
80,0.0,Fri Dec 15 16:33:10 +0000 2017,1.0,0.0,0.0,RT @CNNPolitics: GOP tax bill: Noon deadline for changes. Did Sen. Marco Rubio get what he wants? https://t.co/d5ynVPt9DU https://t.co/Bm0p…,81,@CNNbrk
81,-0.946,Fri Dec 15 16:02:27 +0000 2017,0.459,0.541,0.0,"RT @CNNPolitics: President Trump: ""We believe criminals who kill police officers should get the death penalty"" https://t.co/UhKJD53UVN",82,@CNNbrk
82,0.0,Fri Dec 15 15:55:02 +0000 2017,1.0,0.0,0.0,"RT @CNNPolitics: President Trump speaks at the FBI National Academy: “On behalf of all Americans, to every law enforcement family here toda…",83,@CNNbrk
83,0.6249,Fri Dec 15 15:32:19 +0000 2017,0.779,0.0,0.221,RT @CNNPolitics: President Trump doesn’t dismiss the idea of pardoning former national security adviser Michael Flynn after he pleaded guil…,84,@CNNbrk
84,-0.3597,Fri Dec 15 15:13:51 +0000 2017,0.889,0.111,0.0,RT @CNNPolitics: President Trump on the Russia investigation: “There is absolutely no collusion ... I didn’t make a phone call to Russia. I…,85,@CNNbrk
85,0.0,Fri Dec 15 15:13:46 +0000 2017,1.0,0.0,0.0,RT @CNNPolitics: President Tump says he thinks Alabama Republican Roy Moore should concede in the Senate race https://t.co/hW6p46XUhz,86,@CNNbrk
86,0.0,Fri Dec 15 14:46:17 +0000 2017,1.0,0.0,0.0,RT @CNNMoney: Stocks open higher as investors wait for news from Washington about tax reform. https://t.co/A9OlUXl3FI,87,@CNNbrk
87,0.0,Fri Dec 15 14:26:19 +0000 2017,1.0,0.0,0.0,"RT @cnni: CNN's @arwaCNN is in Al-Bireh, West Bank, where Israeli forces have been responding to youths throwing rocks with tear gas and ru…",88,@CNNbrk
88,0.0,Fri Dec 15 13:24:34 +0000 2017,1.0,0.0,0.0,"Prince Harry and Meghan Markle will marry on May 19, 2018, Kensington Palace says https://t.co/JLLac2MoFM https://t.co/zVGMI52ZXW",89,@CNNbrk
89,0.5994,Fri Dec 15 02:47:38 +0000 2017,0.822,0.0,0.178,"Morgan Spurlock, the filmmaker behind ""Super Size Me,"" is leaving his production company after detailing his own hi… https://t.co/X5IVmo1MnZ",90,@CNNbrk
90,-0.2023,Fri Dec 15 02:11:45 +0000 2017,0.909,0.091,0.0,NYPD has opened an investigation of music mogul Russell Simmons after multiple women accuse him of sexual misconduc… https://t.co/PR3S3AQeZX,91,@CNNbrk
91,0.2023,Fri Dec 15 01:15:08 +0000 2017,0.636,0.144,0.22,RT @CNNPolitics: The Homeland Security senior adviser who promoted conspiracy theories about former President Obama’s birthplace says Obama…,92,@CNNbrk
92,-0.6124,Fri Dec 15 01:14:29 +0000 2017,0.737,0.263,0.0,"A driver accused of plowing into a crowd protesting a white nationalist rally in Charlottesville, Virginia, now fac… https://t.co/CCHjz2CxRO",93,@CNNbrk
93,0.0,Thu Dec 14 21:05:44 +0000 2017,1.0,0.0,0.0,"RT @CNNMoney: Dow falls 76 points, retreating from record highs. 21st Century Fox soars 7% after Disney buys most of the company. https://t…",94,@CNNbrk
94,0.0,Thu Dec 14 18:25:13 +0000 2017,1.0,0.0,0.0,RT @CNNPolitics: JUST IN: The Republican-led FCC votes to end Obama-era net neutrality regulations https://t.co/1jiukc5Yli https://t.co/pUN…,95,@CNNbrk
95,0.0,Thu Dec 14 17:31:02 +0000 2017,1.0,0.0,0.0,The Republican-led FCC is meeting to vote on repealing Obama-era net neutrality protections. Follow it here:… https://t.co/X45f9xpQgZ,96,@CNNbrk
96,0.34,Thu Dec 14 16:46:40 +0000 2017,0.909,0.0,0.091,RT @CNNPolitics: House Speaker Paul Ryan says that “people are going to see gains very soon” if Congress passes the tax bill by Christmas h…,97,@CNNbrk
97,-0.7003,Thu Dec 14 16:26:00 +0000 2017,0.756,0.244,0.0,"RT @CNNPolitics: Texas GOP Rep. Blake Farenthold, who faces accusations of sexual harassment, will not seek re-election, according to a sou…",98,@CNNbrk
98,0.0,Thu Dec 14 14:43:36 +0000 2017,1.0,0.0,0.0,RT @CNNMoney: Dow jumps 80 points to all-time high. Disney and 21st Century Fox open flat after unveiling $52.4 billion deal. https://t.co/…,99,@CNNbrk
99,-0.2263,Thu Dec 14 13:23:29 +0000 2017,0.872,0.128,0.0,RT @CNNPolitics: Vice President Mike Pence's visit to Israel has been delayed https://t.co/C7udp9IGoy https://t.co/b6jI6nsvXU,100,@CNNbrk
